osm_id,unity_world_x,unity_world_z,altura_m,nombre
297503951,1973.909,8108.309,6.4,
297503952,1974.696,8102.549,6.4,
297503953,1975.512,8090.438,6.4,
297503954,1992.082,8060.781,6.4,
297503955,1998.943,8071.85,6.4,
297503956,2003.909,8065.374,6.4,
297503957,2006.941,8058.726,6.4,
297503960,2013.626,8040.639,6.4,
297503961,1996.543,8048.38,6.4,
297518880,1931.938,8226.795,3.2,
297518881,1937.209,8233.677,6.4,
297518882,1947.726,8235.096,9.6,
297518883,1962.627,8237.583,6.4,
297518884,1970.39,8236.114,6.4,
297518885,1961.533,8256.938,6.4,
297518886,1957.416,8265.121,9.6,
297518887,1970.19,8266.673,6.4,
297518888,1981.303,8276.984,6.4,
297518890,1972.077,8362.266,6.4,
297518892,1996.763,8366.426,6.4,
297519876,2059.855,8335.799,6.4,
297519877,2065.714,8349.425,6.4,
297519879,2079.358,8370.44,9.6,
297519880,2084.324,8377.164,6.4,
297519881,2106.824,8363.618,6.4,
297519882,2095.958,8336.874,6.4,
297519883,2109.844,8334.434,6.4,
297519884,2123.35,8334.964,6.4,
297521079,2119.172,8472.911,3.2,
297521080,2123.195,8484.527,3.2,
297521081,2104.314,8402.23,6.4,
297522422,2023.309,8337.276,6.4,
297522423,2027.86,8342.123,6.4,
297522424,2031.517,8346.744,6.4,
297522425,2038.418,8349.443,6.4,
297522426,2037.176,8356.273,6.4,
297522427,2040.759,8361.951,6.4,
297522428,2042.477,8367.756,6.4,
297522429,2044.096,8373.762,6.4,
297522430,2045.765,8379.901,6.4,
297522431,2047.548,8385.164,6.4,
297522432,2049.16,8390.848,6.4,
297522433,2050.914,8397.368,6.4,
297523799,2059.003,8422.08,6.4,
297523800,2050.589,8422.221,6.4,
297523801,2043.045,8419.662,6.4,
297523802,2036.694,8418.111,6.4,
297523803,2029.599,8416.419,6.4,
297523804,2069.217,8438.998,6.4,
297602139,1145.129,7582.454,6.4,
297602140,1058.218,7614.867,6.4,
297602141,957.937,7626.207,6.4,
297602142,1013.488,7523.81,6.4,
297602143,1132.691,7498.7,6.4,
297602145,1076.67,7433.501,6.4,
297646221,2075.421,8467.18,6.4,
297646222,2051.364,8471.154,6.4,
297646223,2060.133,8491.583,6.4,
297646224,2030.032,8523.325,6.4,
297646225,2019.848,8536.729,6.4,
297646229,2088.382,8490.67,12.8,
297646230,2101.298,8510.788,6.4,
297646232,2130.461,8544.858,6.4,
297646233,2244.671,8716.746,3.2,
297646235,2235.764,8697.302,3.2,
297646237,2238.113,8770.082,6.4,
297646240,2290.188,8856.007,6.4,
297646241,2255.555,8901.158,6.4,
297647820,2000.973,8156.818,6.4,
297647821,2023.002,8170.554,6.4,
297647822,2026.163,8165.402,6.4,
297647823,2026.98,8149.012,6.4,
297647826,2011.917,8144.288,6.4,
297647827,2008.119,8151.524,6.4,
297647831,2002.715,8123.963,6.4,
297647832,2000.118,8114.913,6.4,
297647833,2003.882,8109.413,6.4,
297647834,2013.808,8116.764,6.4,
297647835,2010.537,8121.754,6.4,
297648145,2003.642,8142.951,6.4,
297648146,2000.115,8135.447,6.4,
297648147,1991.953,8130.499,6.4,
297648148,1995.829,8142.806,6.4,
297648149,1987.853,8137.863,6.4,
297648150,2033.734,8106.109,6.4,
297699633,2024.986,8109.15,6.4,
297699634,2019.179,8108.86,6.4,
297699635,2009.755,8103.161,6.4,
297699636,2025.416,8097.176,6.4,
297699637,2021.865,8090.815,6.4,
297699638,2022.566,8084.685,6.4,
297699639,2026.288,8078.717,6.4,
297699641,2037.5,8070.808,6.4,
297699642,2046.094,8074.863,6.4,
297699643,2029.328,8067.566,6.4,
297699644,2035.665,8062.69,6.4,
297699645,2045.558,8065.819,6.4,
297699646,2051.878,8069.197,6.4,
297725348,2071.451,8100.215,6.4,
297725350,2087.121,8110.038,6.4,
297725351,2072.017,8090.703,6.4,
297725352,2072.533,8083.109,6.4,
297725353,2083.917,8092.601,6.4,
297725354,2089.066,8094.798,6.4,
297725356,2094.377,8097.114,6.4,
297725358,2100.186,8099.626,6.4,
301232710,2137.157,8119.136,6.4,
301232713,2163.568,8130.001,6.4,
303983009,1481.474,8034.113,6.4,
303983011,1455.485,8053.128,6.4,
303983012,1528.197,8081.918,6.4,
